Date,Quantile_0.025,Quantile_0.25,Quantile_0.5,Quantile_0.75,Quantile_0.975,Median,Mean,Std,Min,Max,Region,District,Day,Month,Year
2020-05-20,0.0187741756439209,0.037359897047281265,0.07373780012130737,0.21947477012872696,0.8317799076437951,0.0737378,0.18110132,0.22686717,0.006764565,0.9964545,Khulna,Bagerhat,20,5,2020
2017-04-03,0.013332334230653942,0.034802427515387535,0.10037896037101746,0.31784769892692566,0.8471145570278167,0.10037896,0.21089503,0.23829493,0.0059157666,0.9957943,Khulna,Bagerhat,3,4,2017
2019-05-21,0.01610544342547655,0.03904690779745579,0.08402243629097939,0.25655949115753174,0.7620363846421241,0.08402243,0.18607803,0.2163198,0.004918411,0.99035066,Khulna,Bagerhat,21,5,2019
2018-08-09,0.010183057375252247,0.03567751217633486,0.12837080657482147,0.35266467183828354,0.8464133620262145,0.1283708,0.22898352,0.24390575,0.0030086364,0.99385166,Khulna,Bagerhat,9,8,2018
2017-06-14,0.01138258408755064,0.03762269299477339,0.11002711579203606,0.323058046400547,0.8382548734545707,0.11002712,0.21834351,0.24106526,0.0025856663,0.9949986,Khulna,Bagerhat,14,6,2017
2018-11-21,0.016198451351374387,0.03425903059542179,0.07203066349029541,0.24672387167811394,0.7866852626204489,0.07203066,0.17789595,0.21514302,0.004938226,0.9956345,Khulna,Bagerhat,21,11,2018
2020-02-14,0.030292609008029103,0.05988723412156105,0.1257525533437729,0.25072386860847473,0.729644306004047,0.12575255,0.19179985,0.18704194,0.009042637,0.995307,Khulna,Bagerhat,14,2,2020
2017-10-28,0.011655127909034491,0.0300430147908628,0.08153634890913963,0.28627127408981323,0.8371054276823996,0.08153635,0.19613357,0.23499224,0.005307636,0.99368155,Khulna,Bagerhat,28,10,2017
2020-07-31,0.010911685787141323,0.0396169712767005,0.14468300342559814,0.3888586610555649,0.8548727497458457,0.144683,0.24337743,0.24803346,0.0030610133,0.99548304,Khulna,Bagerhat,31,7,2020
2019-01-29,0.02620660080574453,0.05336017347872257,0.1249312087893486,0.2551470771431923,0.7232429042458534,0.12493121,0.18895632,0.1869401,0.009723084,0.99735236,Khulna,Bagerhat,29,1,2019
2019-07-16,0.007882672175765038,0.02524444181472063,0.08746929094195366,0.30235283076763153,0.8038964942097664,0.087469295,0.19874509,0.23515329,0.0027128754,0.99584097,Khulna,Bagerhat,16,7,2019
2018-11-13,0.015569790848530829,0.030426766723394394,0.06614041328430176,0.23846006765961647,0.7911714181303972,0.06614041,0.17385857,0.21744801,0.006866772,0.9978573,Khulna,Bagerhat,13,11,2018
2017-09-26,0.009036250086501241,0.027119084261357784,0.0979350097477436,0.32439877837896347,0.8333499640226363,0.097935006,0.2079731,0.23824725,0.0035399373,0.9933078,Khulna,Bagerhat,26,9,2017
2018-10-12,0.011243952717632056,0.03003048012033105,0.07908555492758751,0.2581177279353142,0.8054473504424094,0.07908556,0.18498513,0.22325419,0.0038877863,0.9967638,Khulna,Bagerhat,12,10,2018
2017-04-19,0.021770011633634567,0.04513837397098541,0.09732784330844879,0.2815176770091057,0.8113793045282361,0.09732784,0.1997421,0.22188057,0.00754986,0.9942625,Khulna,Bagerhat,19,4,2017
2018-04-27,0.014517637342214585,0.03382358141243458,0.06847923249006271,0.21235353499650955,0.7816023647785185,0.06847923,0.17436025,0.21858294,0.005842176,0.97870845,Khulna,Bagerhat,27,4,2018
2017-12-15,0.01758265942335129,0.03710616007447243,0.0783136747777462,0.26723888516426086,0.8010609924793243,0.07831368,0.18774402,0.22128436,0.0071015097,0.99701595,Khulna,Bagerhat,15,12,2017
2018-06-14,0.01190585212316364,0.03857380524277687,0.12314246967434883,0.35151392966508865,0.7818865403532982,0.123142466,0.22081181,0.22930552,0.0028611938,0.99178374,Khulna,Bagerhat,14,6,2018
2019-06-22,0.011321416939608753,0.03118349425494671,0.07751429453492165,0.25989390164613724,0.7725896626710889,0.07751429,0.1806225,0.21713087,0.004920395,0.9957338,Khulna,Bagerhat,22,6,2019
2018-05-05,0.013892138563096523,0.029875947162508965,0.061650097370147705,0.2068384662270546,0.8237227693200109,0.061650097,0.17513631,0.23096,0.0055909804,0.98929626,Khulna,Bagerhat,5,5,2018
2019-12-23,0.02505913460627198,0.05110987089574337,0.09838103502988815,0.2889324799180031,0.7893033489584917,0.098381035,0.20166293,0.21648696,0.008744269,0.9958982,Khulna,Bagerhat,23,12,2019
2018-01-29,0.028517766622826457,0.058081215247511864,0.12382930889725685,0.2614969238638878,0.722453588247299,0.123829305,0.19425392,0.19048496,0.009032388,0.9965798,Khulna,Bagerhat,29,1,2018
2020-06-05,0.01081953258253634,0.03624922689050436,0.12774774432182312,0.39775214344263077,0.8693151518702507,0.12774774,0.2423448,0.25679886,0.0038273332,0.9969014,Khulna,Bagerhat,5,6,2020
2019-07-24,0.00820439737290144,0.026805421337485313,0.08693138137459755,0.27521948516368866,0.7653719753026962,0.08693138,0.183608,0.21434827,0.0030659575,0.9949486,Khulna,Bagerhat,24,7,2019
2020-11-12,0.01645955550484359,0.03213191404938698,0.06990698724985123,0.2679312154650688,0.8489534184336662,0.06990699,0.19321975,0.23927386,0.008469751,0.99635136,Khulna,Bagerhat,12,11,2020
2018-06-30,0.010521869803778828,0.03831658232957125,0.13694967329502106,0.39904992282390594,0.8296418920159337,0.13694967,0.24208786,0.24852347,0.0028830008,0.9869307,Khulna,Bagerhat,30,6,2018
2019-10-28,0.012894144793972374,0.0309427035972476,0.07791847735643387,0.2930229529738426,0.8549535840749739,0.07791848,0.20175985,0.24464045,0.006109894,0.99722314,Khulna,Bagerhat,28,10,2019
2017-02-22,0.023565407982096078,0.04709789901971817,0.09736840426921844,0.2422575056552887,0.710777027904987,0.097368404,0.1743668,0.18412009,0.008675046,0.9947265,Khulna,Bagerhat,22,2,2017
2019-11-29,0.016621641675010325,0.034834153950214386,0.0803338922560215,0.30489398539066315,0.8494875878095625,0.08033389,0.20451634,0.241829,0.005134284,0.9963201,Khulna,Bagerhat,29,11,2019
